name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc
225,ratioNorm,1,1,0,1,4,16,1,3,64,0.3,0,0.5502,0.7045,0.4783,0.366,0.5239,0.4651
226,ratioNorm,1,1,0,1,2,32,1,3,64,0.3,0,0.561,0.738,0.4752,0.3344,0.5572,0.4615
227,ratioNorm,1,1,0,1,3,32,1,3,64,0.3,0,0.5707,0.7258,0.4696,0.3758,0.6184,0.4874
228,ratioNorm,1,1,0,1,4,32,1,3,64,0.3,0,0.5692,0.7592,0.4727,0.3344,0.5638,0.4643
229,ratioNorm,1,1,0,1,2,16,1,1,128,0.3,0,0.5625,0.7197,0.4826,0.317,0.621,0.4678
230,ratioNorm,1,1,0,1,3,16,1,1,128,0.3,0,0.5751,0.7466,0.5106,0.3333,0.5585,0.4729
231,ratioNorm,1,1,0,1,4,16,1,1,128,0.3,0,0.57,0.7288,0.5758,0.2418,0.5412,0.4506
232,ratioNorm,1,1,0,1,2,32,1,1,128,0.3,0,0.5675,0.7035,0.5379,0.3388,0.5532,0.4779
233,ratioNorm,1,1,0,1,3,32,1,1,128,0.3,0,0.5757,0.7395,0.4963,0.341,0.6024,0.4797
234,ratioNorm,1,1,0,1,4,32,1,1,128,0.3,0,0.5726,0.7471,0.5267,0.2919,0.5559,0.4607
235,ratioNorm,1,1,0,1,2,16,1,2,128,0.3,0,0.5549,0.7329,0.4932,0.2146,0.6356,0.4342
236,ratioNorm,1,1,0,1,3,16,1,2,128,0.3,0,0.5547,0.7045,0.5118,0.3508,0.5027,0.4648
237,ratioNorm,1,1,0,1,4,16,1,2,128,0.3,0,0.5585,0.7177,0.4863,0.3214,0.5851,0.4632
238,ratioNorm,1,1,0,1,2,32,1,2,128,0.3,0,0.5669,0.7309,0.5019,0.3519,0.5386,0.4721
239,ratioNorm,1,1,0,1,3,32,1,2,128,0.3,0,0.5563,0.7511,0.5211,0.183,0.5758,0.4198
240,ratioNorm,1,1,0,1,4,32,1,2,128,0.3,0,0.5669,0.7212,0.4739,0.3344,0.6449,0.4771
241,ratioNorm,1,1,0,1,2,16,1,3,128,0.3,0,0.5568,0.7076,0.5112,0.3301,0.5359,0.4633
242,ratioNorm,1,1,0,1,3,16,1,3,128,0.3,0,0.5591,0.6929,0.5509,0.3094,0.5306,0.4644
243,ratioNorm,1,1,0,1,4,16,1,3,128,0.3,0,0.5616,0.7253,0.4863,0.2745,0.6436,0.457
244,ratioNorm,1,1,0,1,2,32,1,3,128,0.3,0,0.558,0.67,0.5273,0.3747,0.5532,0.4857
245,ratioNorm,1,1,0,1,3,32,1,3,128,0.3,0,0.5614,0.7253,0.4807,0.2767,0.6516,0.4577
246,ratioNorm,1,1,0,1,4,32,1,3,128,0.3,0,0.5713,0.7172,0.5863,0.256,0.5412,0.4583
247,ratioNorm,1,1,0,1,2,16,1,1,256,0.3,0,0.5622,0.7076,0.5261,0.3366,0.5332,0.4699
248,ratioNorm,1,1,0,1,3,16,1,1,256,0.3,0,0.5732,0.7461,0.4894,0.3148,0.6144,0.4702
249,ratioNorm,1,1,0,1,4,16,1,1,256,0.3,0,0.5713,0.7542,0.5025,0.3148,0.5519,0.4625
250,ratioNorm,1,1,0,1,2,32,1,1,256,0.3,0,0.5749,0.7207,0.5553,0.2625,0.6157,0.4668
251,ratioNorm,1,1,0,1,3,32,1,1,256,0.3,0,0.5675,0.7258,0.5882,0.219,0.5332,0.4433
252,ratioNorm,1,1,0,1,4,32,1,1,256,0.3,0,0.5705,0.6979,0.5503,0.3192,0.5864,0.4798
253,ratioNorm,1,1,0,1,2,16,1,2,256,0.3,0,0.5543,0.739,0.4404,0.3159,0.6051,0.4534
254,ratioNorm,1,1,0,1,3,16,1,2,256,0.3,0,0.5551,0.7263,0.4516,0.3529,0.5745,0.4642
255,ratioNorm,1,1,0,1,4,16,1,2,256,0.3,0,0.5488,0.7248,0.5373,0.256,0.4694,0.4299
256,ratioNorm,1,1,0,1,2,32,1,2,256,0.3,0,0.5622,0.7126,0.5199,0.2658,0.6197,0.4575
257,ratioNorm,1,1,0,1,3,32,1,2,256,0.3,0,0.558,0.7486,0.4292,0.3442,0.5944,0.4602
258,ratioNorm,1,1,0,1,4,32,1,2,256,0.3,0,0.5452,0.668,0.5429,0.3126,0.512,0.4571
259,ratioNorm,1,1,0,1,2,16,1,3,256,0.3,0,0.5519,0.6979,0.5267,0.2571,0.5824,0.4471
260,ratioNorm,1,1,0,1,3,16,1,3,256,0.3,0,0.5494,0.6579,0.5969,0.2484,0.5306,0.4503
261,ratioNorm,1,1,0,1,4,16,1,3,256,0.3,0,0.5589,0.6858,0.582,0.2756,0.5226,0.4579
262,ratioNorm,1,1,0,1,2,32,1,3,256,0.3,0,0.5563,0.6959,0.5652,0.3115,0.4694,0.4577
263,ratioNorm,1,1,0,1,3,32,1,3,256,0.3,0,0.5623,0.6999,0.6106,0.281,0.4415,0.4539
264,ratioNorm,1,1,0,1,4,32,1,3,256,0.3,0,0.5469,0.6483,0.5168,0.3235,0.6184,0.4729
265,ratioNorm,1,1,0,1,2,16,1,1,32,0.1,0,0.5671,0.7547,0.5056,0.2789,0.5585,0.4504
266,ratioNorm,1,1,0,1,3,16,1,1,32,0.1,0,0.5698,0.7055,0.5186,0.3911,0.5412,0.4908
267,ratioNorm,1,1,0,1,4,16,1,1,32,0.1,0,0.5751,0.7339,0.5298,0.2789,0.617,0.4673
268,ratioNorm,1,1,0,1,2,32,1,1,32,0.1,0,0.5709,0.6974,0.5224,0.3736,0.5838,0.4927
269,ratioNorm,1,1,0,1,3,32,1,1,32,0.1,0,0.5711,0.7187,0.5224,0.3638,0.5412,0.4824
270,ratioNorm,1,1,0,1,4,32,1,1,32,0.1,0,0.5702,0.6868,0.605,0.2625,0.5652,0.4682
271,ratioNorm,1,1,0,1,2,16,1,2,32,0.1,0,0.5741,0.7253,0.5273,0.3301,0.5758,0.4779
272,ratioNorm,1,1,0,1,3,16,1,2,32,0.1,0,0.5713,0.7045,0.5615,0.3649,0.4947,0.4838
273,ratioNorm,1,1,0,1,4,16,1,2,32,0.1,0,0.57,0.7192,0.5354,0.3235,0.5532,0.4726
274,ratioNorm,1,1,0,1,2,32,1,2,32,0.1,0,0.5705,0.7116,0.5484,0.3682,0.4947,0.4819
275,ratioNorm,1,1,0,1,3,32,1,2,32,0.1,0,0.5759,0.7704,0.4857,0.3431,0.5426,0.4685
276,ratioNorm,1,1,0,1,4,32,1,2,32,0.1,0,0.5814,0.7603,0.513,0.3246,0.5718,0.4741
277,ratioNorm,1,1,0,1,2,16,1,3,32,0.1,0,0.5635,0.6883,0.5155,0.3725,0.5718,0.4869
278,ratioNorm,1,1,0,1,3,16,1,3,32,0.1,0,0.5686,0.6969,0.5416,0.3322,0.5785,0.4808
279,ratioNorm,1,1,0,1,4,16,1,3,32,0.1,0,0.5688,0.7425,0.4882,0.3214,0.5878,0.4668
280,ratioNorm,1,1,0,1,2,32,1,3,32,0.1,0,0.5622,0.7567,0.4335,0.3475,0.5891,0.4626
281,ratioNorm,1,1,0,1,3,32,1,3,32,0.1,0,0.5717,0.6802,0.5665,0.3431,0.5771,0.4906
282,ratioNorm,1,1,0,1,4,32,1,3,32,0.1,0,0.5713,0.7557,0.5081,0.232,0.637,0.4482
283,ratioNorm,1,1,0,1,2,16,1,1,64,0.1,0,0.5696,0.7096,0.5298,0.3932,0.5027,0.4877
284,ratioNorm,1,1,0,1,3,16,1,1,64,0.1,0,0.5772,0.7471,0.5037,0.3388,0.5798,0.4773
285,ratioNorm,1,1,0,1,4,16,1,1,64,0.1,0,0.582,0.6873,0.6255,0.3017,0.5545,0.488
286,ratioNorm,1,1,0,1,2,32,1,1,64,0.1,0,0.5766,0.7456,0.5422,0.3344,0.5027,0.4715
287,ratioNorm,1,1,0,1,3,32,1,1,64,0.1,0,0.57,0.6969,0.5199,0.3747,0.5824,0.492
288,ratioNorm,1,1,0,1,4,32,1,1,64,0.1,0,0.578,0.738,0.5478,0.2887,0.5758,0.4688
289,ratioNorm,1,1,0,1,2,16,1,2,64,0.1,0,0.5585,0.6543,0.5571,0.3562,0.5572,0.4865
290,ratioNorm,1,1,0,1,3,16,1,2,64,0.1,0,0.5694,0.6817,0.5441,0.3431,0.6051,0.4897
291,ratioNorm,1,1,0,1,4,16,1,2,64,0.1,0,0.5684,0.703,0.5441,0.3551,0.5279,0.4812
292,ratioNorm,1,1,0,1,2,32,1,2,64,0.1,0,0.5711,0.6776,0.5832,0.3704,0.5106,0.493
293,ratioNorm,1,1,0,1,3,32,1,2,64,0.1,0,0.5709,0.7638,0.4665,0.2963,0.6237,0.4596
294,ratioNorm,1,1,0,1,4,32,1,2,64,0.1,0,0.5711,0.7278,0.5056,0.3671,0.5492,0.4811
295,ratioNorm,1,1,0,1,2,16,1,3,64,0.1,0,0.5458,0.7273,0.4447,0.39,0.4761,0.4574
296,ratioNorm,1,1,0,1,3,16,1,3,64,0.1,0,0.5599,0.705,0.5149,0.3083,0.5824,0.4648
297,ratioNorm,1,1,0,1,4,16,1,3,64,0.1,0,0.5757,0.7126,0.587,0.2004,0.6503,0.4576
298,ratioNorm,1,1,0,1,2,32,1,3,64,0.1,0,0.5663,0.6944,0.564,0.281,0.5838,0.4678
299,ratioNorm,1,1,0,1,3,32,1,3,64,0.1,0,0.574,0.7375,0.5267,0.2908,0.5918,0.4664
300,ratioNorm,1,1,0,1,4,32,1,3,64,0.1,0,0.569,0.7035,0.5217,0.3235,0.617,0.4797
301,ratioNorm,1,1,0,1,2,16,1,1,128,0.1,0,0.5534,0.6619,0.5317,0.3475,0.5665,0.478
302,ratioNorm,1,1,0,1,3,16,1,1,128,0.1,0,0.5662,0.6543,0.5907,0.3301,0.5705,0.4888
303,ratioNorm,1,1,0,1,4,16,1,1,128,0.1,0,0.5646,0.6984,0.5329,0.3061,0.5971,0.4716
304,ratioNorm,1,1,0,1,2,32,1,1,128,0.1,0,0.5721,0.707,0.5615,0.3105,0.5598,0.4753
305,ratioNorm,1,1,0,1,3,32,1,1,128,0.1,0,0.5738,0.6974,0.5913,0.2832,0.5665,0.4737
306,ratioNorm,1,1,0,1,4,32,1,1,128,0.1,0,0.5732,0.6934,0.6149,0.2614,0.5492,0.4682
307,ratioNorm,1,1,0,1,2,16,1,2,128,0.1,0,0.5536,0.6954,0.4957,0.3268,0.5824,0.4654
308,ratioNorm,1,1,0,1,3,16,1,2,128,0.1,0,0.5639,0.7182,0.4888,0.4292,0.484,0.487
309,ratioNorm,1,1,0,1,4,16,1,2,128,0.1,0,0.5688,0.7177,0.5814,0.2244,0.5718,0.4503
310,ratioNorm,1,1,0,1,2,32,1,2,128,0.1,0,0.5702,0.7293,0.5161,0.366,0.5173,0.4776
311,ratioNorm,1,1,0,1,3,32,1,2,128,0.1,0,0.5713,0.7212,0.5186,0.268,0.6609,0.4671
312,ratioNorm,1,1,0,1,4,32,1,2,128,0.1,0,0.5738,0.7339,0.5267,0.3061,0.5811,0.4701
313,ratioNorm,1,1,0,1,2,16,1,3,128,0.1,0,0.5523,0.7714,0.428,0.3399,0.5027,0.442
314,ratioNorm,1,1,0,1,3,16,1,3,128,0.1,0,0.5648,0.7633,0.5149,0.2364,0.5519,0.4357
315,ratioNorm,1,1,0,1,4,16,1,3,128,0.1,0,0.5671,0.669,0.5981,0.2418,0.6303,0.4691
316,ratioNorm,1,1,0,1,2,32,1,3,128,0.1,0,0.5502,0.7608,0.4081,0.2908,0.6184,0.4385
317,ratioNorm,1,1,0,1,3,32,1,3,128,0.1,0,0.5663,0.7537,0.4882,0.2429,0.637,0.4464
318,ratioNorm,1,1,0,1,4,32,1,3,128,0.1,0,0.5741,0.7425,0.5261,0.2495,0.6316,0.4582
319,ratioNorm,1,1,0,1,2,16,1,1,256,0.1,0,0.5538,0.6923,0.5292,0.3257,0.5213,0.4625
320,ratioNorm,1,1,0,1,3,16,1,1,256,0.1,0,0.5738,0.7157,0.5497,0.3192,0.5638,0.4769
321,ratioNorm,1,1,0,1,4,16,1,1,256,0.1,0,0.5608,0.7005,0.5075,0.3486,0.5678,0.4753
322,ratioNorm,1,1,0,1,2,32,1,1,256,0.1,0,0.5694,0.7516,0.459,0.3856,0.5519,0.4775
323,ratioNorm,1,1,0,1,3,32,1,1,256,0.1,0,0.5789,0.7501,0.5385,0.2527,0.6144,0.4605
324,ratioNorm,1,1,0,1,4,32,1,1,256,0.1,0,0.5654,0.7288,0.5062,0.2516,0.6463,0.4547
325,ratioNorm,1,1,0,1,2,16,1,2,256,0.1,0,0.5521,0.702,0.4963,0.3573,0.516,0.4652
326,ratioNorm,1,1,0,1,3,16,1,2,256,0.1,0,0.5633,0.7304,0.5143,0.3464,0.4947,0.4648
327,ratioNorm,1,1,0,1,4,16,1,2,256,0.1,0,0.5703,0.7385,0.5317,0.2854,0.5598,0.4595
328,ratioNorm,1,1,0,1,2,32,1,2,256,0.1,0,0.573,0.7395,0.4919,0.378,0.5479,0.4823
329,ratioNorm,1,1,0,1,3,32,1,2,256,0.1,0,0.5606,0.6944,0.5739,0.195,0.6277,0.4451
330,ratioNorm,1,1,0,1,4,32,1,2,256,0.1,0,0.5751,0.7167,0.5447,0.354,0.5386,0.4844
331,ratioNorm,1,1,0,1,2,16,1,3,256,0.1,0,0.5612,0.707,0.5516,0.2985,0.5199,0.4595
332,ratioNorm,1,1,0,1,3,16,1,3,256,0.1,0,0.5583,0.7395,0.5043,0.2505,0.5745,0.4404
333,ratioNorm,1,1,0,1,4,16,1,3,256,0.1,0,0.5629,0.7268,0.4994,0.3355,0.5465,0.466
334,ratioNorm,1,1,0,1,2,32,1,3,256,0.1,0,0.5669,0.7065,0.6037,0.22,0.5452,0.4488
335,ratioNorm,1,1,0,1,3,32,1,3,256,0.1,0,0.5665,0.7258,0.5161,0.3061,0.5745,0.4648
336,ratioNorm,1,1,0,1,4,32,1,3,256,0.1,0,0.5637,0.7435,0.4863,0.2669,0.6197,0.4509
337,ratioNorm_oldModel,1,1,0,1,4,16,1,1,64,0.1,0,0.5866,0.7594,0.5745,0.321,0.4798,0.4726
338,230214_P,1,1,0,1,2,32,1,2,64,0.2,0,0.5583,0.762,0.4963,0.3255,0.5104,0.4574
339,240514_1,1,1,0,1,2,32,1,2,64,0.2,0,0.5967,0.7783,0.5235,0.291,0.6283,0.4769
340,240514_2,1,1,0,1,2,32,1,2,64,0.2,0,0.577,0.7282,0.5,0.4121,0.5285,0.4934
341,240521_1,1,1,0,1,2,32,1,2,64,0.2,0,0.5808,0.7631,0.4904,0.385,0.517,0.4808
342,240521_2,1,1,0,1,2,32,1,2,64,0.2,0,0.5954,0.7738,0.5207,0.3337,0.5984,0.4868
343,240521_3,1,1,0,1,2,32,1,2,64,0.2,0,0.5904,0.733,0.5971,0.281,0.5376,0.4723
344,240702_1,1,1,0,1,2,32,1,2,64,0.2,0,0.5788,0.7757,0.469,0.3736,0.519,0.4715
345,240702_2,1,1,0,1,2,32,1,2,64,0.2,0,0.5821,0.7534,0.5171,0.3325,0.5581,0.4751
346,240702_3,1,1,0,1,2,32,1,2,64,0.2,0,0.5808,0.7173,0.5214,0.281,0.7082,0.4822
347,240704_1,1,1,0,1,2,32,1,2,64,0.2,0,0.5785,0.7347,0.525,0.2714,0.6398,0.4675
348,240704_2,1,1,0,1,2,32,1,2,64,0.2,0,0.5703,0.7354,0.6029,0.2859,0.4544,0.4596
349,240704_3,1,1,0,1,2,32,1,2,64,0.2,0,0.5851,0.6826,0.5885,0.3787,0.5721,0.5107
350,ratioNorm,1,1,0,1,2,32,1,2,64,0.2,1,0.5757,0.7385,0.4977,0.3614,0.5688,0.4815
